filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
10.ogg,0.1721085011959076,0.16032324731349945,1364.3444557647065,1258.5921748128872,2237.128139058872,0.07669870476973684,-252.4164276123047,121.37603759765625,-75.99944305419922,-21.006633758544922,-14.176373481750488,-25.648235321044922,-15.026351928710938,-14.021081924438477,-18.048791885375977,13.675592422485352,-8.886734008789062,-10.225345611572266,-11.382643699645996,-23.615201950073242,-9.837443351745605,2.8376078605651855,7.31161642074585,15.285730361938477,28.113136291503906,13.85175895690918,ney
100.ogg,0.1443474143743515,0.397188276052475,2667.270692575199,2562.900505890214,5860.67289464614,0.07192813648897059,-121.87359619140625,7.83635950088501,-47.482791900634766,-31.510833740234375,-60.89851760864258,-30.677764892578125,-36.83866500854492,-6.8157877922058105,-3.0721867084503174,19.794919967651367,12.085741996765137,11.91352653503418,-2.081228733062744,-12.192745208740234,-2.5502078533172607,-0.3660753667354584,-2.4947245121002197,-1.8816832304000854,10.741642951965332,5.378603458404541,ney
101.ogg,0.14390675723552704,0.42374706268310547,2311.3508573564923,2466.870951097275,5187.210300315644,0.05862133864647833,-146.173828125,25.193405151367188,-30.676767349243164,-15.18954086303711,-31.67662811279297,-10.613235473632812,-32.88163757324219,-17.28250503540039,-19.348411560058594,0.27446508407592773,7.420251369476318,13.588500022888184,5.091373443603516,-0.9379028677940369,-6.645021915435791,-1.8690605163574219,-8.361085891723633,-9.58491039276123,-7.565945148468018,-4.581149578094482,ney
102.ogg,0.13527701795101166,0.4157201945781708,2359.14850355586,2448.6785422749845,5272.793116141399,0.06665114647832818,-116.19187927246094,33.266212463378906,-30.78130531311035,-19.073293685913086,-44.28179931640625,-16.623300552368164,-36.35133743286133,-13.62745475769043,-10.22536563873291,11.268692016601562,4.663881778717041,9.540559768676758,-13.354313850402832,-11.32994556427002,-11.759641647338867,-0.3852328360080719,-4.925459384918213,2.7833895683288574,13.298392295837402,7.3411126136779785,ney
103.ogg,0.14694243669509888,0.35792669653892517,1648.90893845977,2048.9693007753303,3375.387922824352,0.05687985257836687,-142.88356018066406,76.42675018310547,-19.965133666992188,-5.031664848327637,-31.39253044128418,-12.276963233947754,-34.029884338378906,-25.061098098754883,-28.775529861450195,-15.263957977294922,-8.113993644714355,-9.485207557678223,-11.30504322052002,-8.05987548828125,-7.315243721008301,1.9983329772949219,-7.306894779205322,-9.482359886169434,-3.4591212272644043,-2.9674336910247803,ney
104.ogg,0.1395551562309265,0.4262080192565918,2208.0198312815346,2360.8725243798426,4873.5788634687015,0.06041951371420279,-132.7166748046875,34.76124572753906,-33.30668640136719,-11.650554656982422,-46.22996520996094,-26.684646606445312,-37.80384826660156,-17.01097869873047,-12.813274383544922,11.300247192382812,6.5370025634765625,14.312701225280762,2.7971928119659424,-8.826285362243652,-11.973880767822266,-4.892731666564941,-5.6680684089660645,-10.521567344665527,-2.924114942550659,-4.756873607635498,ney
105.ogg,0.14162294566631317,0.4254920780658722,2220.7360817570493,2422.893344271853,5030.944578566418,0.06976601804373066,-109.08831787109375,43.81707000732422,-21.520919799804688,-11.719910621643066,-45.33464813232422,-21.97947120666504,-34.88114547729492,-16.437082290649414,-18.819135665893555,-0.8343755006790161,-9.026862144470215,-4.007904529571533,-12.155165672302246,-11.986833572387695,-10.300631523132324,2.5860331058502197,0.058189935982227325,-1.5251706838607788,10.647171974182129,13.680224418640137,ney
106.ogg,0.1692369133234024,0.388167142868042,2961.9947777591724,2619.1029055502104,6179.729298689048,0.10437049511416409,-145.854736328125,2.0108377933502197,-41.29999542236328,-32.078285217285156,-43.58467483520508,-13.469744682312012,-17.861576080322266,7.9888691902160645,1.6971735954284668,10.738993644714355,1.3441938161849976,-5.924528121948242,-19.493684768676758,-10.075419425964355,-2.9534783363342285,2.8373382091522217,-7.293629169464111,-2.158571720123291,6.288206100463867,3.1381025314331055,ney
107.ogg,0.15895384550094604,0.1995171755552292,1511.5762241659934,1703.0889341059133,2786.149819199884,0.05424116860971362,-220.4794464111328,78.63419342041016,-40.58338165283203,-9.11422348022461,-25.961225509643555,-17.563371658325195,-21.133716583251953,-10.802691459655762,-26.723236083984375,5.98170280456543,4.517635345458984,12.869601249694824,14.773600578308105,11.823901176452637,7.2836408615112305,19.321592330932617,7.967503070831299,2.780587911605835,1.9254093170166016,7.687220096588135,ney
108.ogg,0.13684967160224915,0.2996048629283905,2025.8924765625331,2121.6800396004005,4150.058238498936,0.07176411631675697,-202.47793579101562,31.74711036682129,-38.871368408203125,-27.82666778564453,-43.19473648071289,-24.00760841369629,-14.581937789916992,23.92386817932129,15.253159523010254,33.90480422973633,15.403533935546875,0.10286030173301697,-5.626395225524902,-3.2003250122070312,-2.351613998413086,10.162978172302246,2.01261568069458,7.082732677459717,2.815732717514038,1.767197608947754,ney
